title,content_id
가산사,294369
가섭사,294390
각연사(괴산),127241
갈기산,127781
갈론계곡,753397
감곡매괴성모순례지성당,1114686
강선대,2743393
강천사(제천),527227
개심사 목조여래좌상과 목조관음보살좌상,1432440
개심사(괴산),1431823
거꾸로천문대,2769571
건지마을,2987654
검암서원,1955985
것대산,3076572
계담서원,1955991
계명산 자연휴양림 캠핑장,126678
고미술거리,2613669
고산 9경,126005
고산사 석조관음보살좌상,1682800
고산사 석조나한상,1682895
고운골 남한강 갈대숲,2736659
공림사,125895
공전자연학교,1927855
과일나라테마공원,2648488
광명선원,2770109
광운농촌교육농장(광운관광농원),126942
괴산 고산정 및 제월대,793014
괴산 김항묵 고택,1433369
괴산 둔율 올갱이마을,1432032
괴산 문당리 서낭단,791697
괴산 백운사 승탑군,1434605
괴산 보안사 삼층석탑,791770
괴산 보안사 석조약사여래좌상,1437035
괴산 봉학사지 석조여래좌상,1435965
괴산 봉학사지 오층석탑,1435934
괴산 사담리 망개나무 자생지,1434619
괴산 삼방리 마애여래좌상,1434629
괴산 삼방리 삼층석탑,1434663
괴산 송덕리 미선나무 자생지,126006
괴산 송병일 고택,1437090
괴산 송시열 유적,1436057
괴산 수월정,1677831
괴산 오가리 느티나무,792974
괴산 올갱이국 거리,704505
괴산 외사리 당간지주,1434911
괴산 율지리 미선나무 자생지,1436300
괴산 읍내리 은행나무,793040
괴산 이창훈 고가,1436162
괴산 장담 충신각,1436034
괴산 적석리 소나무,1437066
괴산 정인지 묘소,1678532
괴산 청안 안민헌,793086
괴산 칠충사와 피세정,793203
괴산 트리하우스 가든,2785629
괴산 홍범식 고가(벽초 홍명희 생가),127289
괴산군수 관사,1431968
괴산동헌,1433438
괴산중학교 구 본관,1432058
괴산향교,791726
괴산호,125869
교동저수지(교동생태습지),2717010
구계서원,1955994
구녀산,125823
구담봉.옥순봉,127568
구룡산 장승공원,1959084
구병리아름마을,128383
구병산,125827
구암저수지,2769743
구인사(단양),127677
구절사,298095
국계서원,1955996
국립 황정산자연휴양림,407236
국립속리산말티재자연휴양림(속리산말티재자연휴양림),2769697
국립제천치유의숲,2718685
국화참숯불가마찜질,3034650
군자산,127836
금강유원지,127618
금곡소류지,3356266
금석저수지,2769996
금수산,127840
금월봉,129466
금화서원,1956001
기암서원,1956004
김세균판서고가,2789827
김시민장군 충민사,128552
깊은산속 옹달샘,2613450
꽃동네제빵소(꽃구움),2822187
꽃절(화암사),487729
꿀벌랜드,2903366
낙천탕,2755943
난계 박연선생 생가,252583
남천계곡,126561
낭추골 현장체험학습원,128177
노근리평화공원,2733433
노동리 노동동굴,2931993
노목계곡,1683047
노산리 솔밭 자연유원지,2775612
노은영당,127753
농심테마공원,2990390
농심테마파크(농업기술센터),2782915
농암정,3034357
농업회사법인 ㈜ 가을농원,2717560
높은벌,756456
누암리신라고분군,2789851
"능강계곡, 얼음골",126755
능암온천랜드,127949
다누리센터4D체험관,3008996
다리안 연성전단대,2931994
다리안계곡,126655
단양 감골 바람개비마을,1920031
단양 고수동굴,125861
단양 관광특구,1957364
단양 금굴 구석기유적지,250278
단양 다리안관광지,125865
단양 단성벽화마을,2787086
단양 방곡도깨비마을,129649
단양 보발재,2676837
단양 사인암,129648
단양 상상의 거리,3009093
단양 수양개빛터널,2616351
단양 신라 적성비,125979
단양 온달동굴,125854
단양 온달산성,125978
단양 장익는 마을,2465538
단양 적성,125922
단양 조덕수고택,1627280
단양 천동동굴,125863
단양 향산리 삼층석탑,125921
단양강 잔도,2604656
단양향교,1954357
단호사(충주),299977
달빛마을,2847372
달천,127636
대가미체육공원,3075221
대덕숲유원지,2769578
대성사(옥천),300077
대성사(이원),300078
대원사(충주),300083
대청댐 전망대,2769599
대한성공회 진천성당,1750879
대흥사(진천),300085
더플레이그라운드,3071123
덕동계곡,125828
덕동생태숲,1683237
덕주사 마애여래입상 (덕주사 마애불),1683988
덕주사 약사여래입상,1683328
덕주사(제천),125892
덕천서원(청주),1956010
덕촌리 독립운동가마을,2733144
도깨비 양조장,3009051
도담마을 도담정원,3025685
도담삼봉,125913
도담삼봉 음악분수,126766
도락산,126653
도란원 샤토미소,2609160
도마령,756447
도명산,127271
독수리봉,2714802
동락전승비,1690332
동부창고,2554347
동이면 금강 해바라기 단지,2865134
동화사(충북),127364
두산 활공장,2931998
둔주봉,2610563
레인보우식물원,3075146
